sku_prefix,category,group_name,main_unit,needs_confirm,forecast_scope
01,แผ่นเหล็ก/ผนัง,เหล็กซิงค์ (ไม่ทาสี) มอก.,เมตร,no,true
02,แผ่นเหล็ก/ผนัง,เหล็กเคลือบสี มาตรฐาน 0.30,เมตร,yes,true
03,แผ่นเหล็ก/ผนัง,เหล็กเคลือบสี เกรด (B),เมตร,yes,true
04,แผ่นเหล็ก/ผนัง,เหล็กเคลือบสี เกรด APT (หนา),เมตร,yes,true
05,แผ่นเหล็ก/ผนัง,สแน็ปล็อค,เมตร,no,true
06,แผ่นเหล็ก/ผนัง,ผนังลอนเล็ก ลายไม้,เมตร,no,true
07,แผ่นเหล็ก/ผนัง,ผนังเซาะร่อง ลายไม้,เมตร,no,true
08,แผ่นเหล็ก/ผนัง,ลอนฝ้า,เมตร,no,true
09,แผ่นใส,แผ่นใส (หลังคาโปร่งแสง),เมตร,no,true
10,อุปกรณ์ติดตั้ง,สกรู,ตัว,no,true
11,อุปกรณ์ติดตั้ง,วัสดุสิ้นเปลือง (ซิลิโคน ใบตัด ลวดเชื่อม),หลอด,no,false
12,เครื่องมือ,เครื่องมือช่าง,อัน,no,false
13,แผ่นเหล็ก/ผนัง,รั้วเหล็ก,เมตร,no,true
14,โครงสร้าง,ท่อเหล็ก/แป,เส้น,no,true
15,วัสดุอื่น,ไม้เชิงชาย/ไม้ฝา,แผ่น,no,true
16,อุปกรณ์ติดตั้ง,เทปกันลั่น/เทปซ่อมฉนวน,ม้วน,no,true
77,ตกเกรด & บริการ,สินค้าตกเกรด + ค่ารีดลอน/พับ,เมตร,no,false
88,ฉนวน,แผ่น PU โฟม,เมตร,no,true
99,อื่นๆ,เบ็ดเตล็ด/ของแถม/ค่าขนส่ง,ตัว,no,false
